Designator,Mid X,Mid Y,Rotation,Layer
C1,190.055,-110.8775,270.0,bottom
C2,188.33,-110.8775,270.0,bottom
C3,73.38,-103.1275,0.0,bottom
C4,76.655,-103.1275,180.0,bottom
C5_R1,352.805,-102.3025,180.0,bottom
C6_R1,356.13,-102.2775,180.0,bottom
C7_R1,243.38,-110.1525,90.0,bottom
C8_R1,241.755,-110.1525,90.0,bottom
D1,86.23,-135.3025,0.0,bottom
D10,143.08,-116.3025,0.0,bottom
D11,142.88,-97.3025,0.0,bottom
D12,162.08,-140.1525,0.0,bottom
D13,161.88,-120.9275,0.0,bottom
D14,162.005,-102.0525,0.0,bottom
D15,181.28,-145.0025,0.0,bottom
D16,181.205,-125.8525,0.0,bottom
D17,181.08,-106.7275,0.0,bottom
D18,160.105,-164.8275,0.0,bottom
D19,182.623778,-169.004551,15.0,bottom
D2,85.83,-116.3275,0.0,bottom
D20,203.798123,-178.577436,29.0,bottom
D21,73.34,-108.0025,90.0,bottom
D22,78.38,-108.0025,90.0,bottom
D23,83.42,-108.0025,90.0,bottom
D24,88.46,-108.0025,90.0,bottom
D25,80.755,-135.1025,180.0,bottom
D26,154.83,-164.7025,180.0,bottom
D29,80.655,-116.2775,180.0,bottom
D3,104.955,-144.8275,0.0,bottom
D30,99.68,-144.7775,180.0,bottom
D31,99.6575,-125.514016,180.0,bottom
D32,99.655,-106.7025,180.0,bottom
D33,118.73,-140.1025,180.0,bottom
D34,118.73,-121.1525,180.0,bottom
D35,118.755,-102.0025,180.0,bottom
D36,137.805,-135.3275,180.0,bottom
D37,137.78,-116.3525,180.0,bottom
D38,137.655,-97.2275,180.0,bottom
D39,156.805,-140.0525,180.0,bottom
D4,104.78,-125.5775,0.0,bottom
D40,156.7825,-121.040984,180.0,bottom
D41,156.83,-101.9775,180.0,bottom
D42,175.905,-144.8275,180.0,bottom
D43,175.855,-125.8025,180.0,bottom
D44,175.905,-106.8275,180.0,bottom
D45,177.787074,-167.618978,195.0,bottom
D46,199.119988,-175.989556,209.0,bottom
D47_R1,356.76,-108.0025,270.0,bottom
D48_R1,351.726667,-108.0025,270.0,bottom
D5,105.08,-106.4275,0.0,bottom
D50_R1,346.693333,-108.0025,270.0,bottom
D52_R1,341.66,-108.0025,270.0,bottom
D53_R1,348.755,-135.3525,180.0,bottom
D54_R1,348.73,-116.3025,180.0,bottom
D55_R1,329.655,-144.8775,180.0,bottom
D56_R1,329.705,-125.7275,180.0,bottom
D57_R1,329.705,-106.8025,180.0,bottom
D58_R1,310.655,-140.0775,180.0,bottom
D59_R1,310.63,-121.0775,180.0,bottom
D6,123.98,-139.9025,0.0,bottom
D60_R1,310.63,-102.1275,180.0,bottom
D61_R1,354.03,-135.3525,0.0,bottom
D62_R1,354.105,-116.2525,0.0,bottom
D63_R1,334.78,-144.8025,0.0,bottom
D64_R1,335.03,-125.8025,0.0,bottom
D65_R1,291.58,-135.3525,180.0,bottom
D66_R1,291.63,-116.2275,180.0,bottom
D67_R1,291.53,-97.1775,180.0,bottom
D68_R1,272.53,-140.0525,180.0,bottom
